Sample,title,filename1,filename2
3-1-B-0-2,Station CB 3.1  Depth B m SizeFrac 0.2 μm,3-1-B-0-2_R1_ren.fastq.gz,3-1-B-0-2_R2_ren.fastq.gz
3-1-B-1-2,Station CB 3.1  Depth B m SizeFrac 1.2 μm,3-1-B-1-2_R1_ren.fastq.gz,3-1-B-1-2_R2_ren.fastq.gz
3-1-B-180,Station CB 3.1  Depth B m SizeFrac 180 μm,3-1-B-180_R1_ren.fastq.gz,3-1-B-180_R2_ren.fastq.gz
3-1-B-20,Station CB 3.1  Depth B m SizeFrac 20 μm,3-1-B-20_R1_ren.fastq.gz,3-1-B-20_R2_ren.fastq.gz
3-1-B-5,Station CB 3.1  Depth B m SizeFrac 5 μm,3-1-B-5_R1_ren.fastq.gz,3-1-B-5_R2_ren.fastq.gz
3-1-B-500,Station CB 3.1  Depth B m SizeFrac 500 μm,3-1-B-500_R1_ren.fastq.gz,3-1-B-500_R2_ren.fastq.gz
3-1-B-53,Station CB 3.1  Depth B m SizeFrac 53 μm,3-1-B-53_R1_ren.fastq.gz,3-1-B-53_R2_ren.fastq.gz
3-1-B-PCR-control-5-April,PCR Control 3-1-B-PCR-control-5-April,3-1-B-PCR-control-5-April_R1_ren.fastq.gz,3-1-B-PCR-control-5-April_R2_ren.fastq.gz
3-1-DNA-control-8-Jan,DNA Extraction Control 3-1-DNA-control-8-Jan,3-1-DNA-control-8-Jan_R1_ren.fastq.gz,3-1-DNA-control-8-Jan_R2_ren.fastq.gz
3-1-S-0-2,Station CB 3.1  Depth S m SizeFrac 0.2 μm,3-1-S-0-2_R1_ren.fastq.gz,3-1-S-0-2_R2_ren.fastq.gz
3-1-S-1-2,Station CB 3.1  Depth S m SizeFrac 1.2 μm,3-1-S-1-2_R1_ren.fastq.gz,3-1-S-1-2_R2_ren.fastq.gz
3-1-S-180,Station CB 3.1  Depth S m SizeFrac 180 μm,3-1-S-180_R1_ren.fastq.gz,3-1-S-180_R2_ren.fastq.gz
3-1-S-20,Station CB 3.1  Depth S m SizeFrac 20 μm,3-1-S-20_R1_ren.fastq.gz,3-1-S-20_R2_ren.fastq.gz
3-1-S-5,Station CB 3.1  Depth S m SizeFrac 5 μm,3-1-S-5_R1_ren.fastq.gz,3-1-S-5_R2_ren.fastq.gz
3-1-S-PCR-control-21-April,PCR Control 3-1-S-PCR-control-21-April,3-1-S-PCR-control-21-April_R1_ren.fastq.gz,3-1-S-PCR-control-21-April_R2_ren.fastq.gz
3-2-B-0-2,Station CB 3.2  Depth B m SizeFrac 0.2 μm,3-2-B-0-2_R1_ren.fastq.gz,3-2-B-0-2_R2_ren.fastq.gz
3-2-B-1-2,Station CB 3.2  Depth B m SizeFrac 1.2 μm,3-2-B-1-2_R1_ren.fastq.gz,3-2-B-1-2_R2_ren.fastq.gz
3-2-B-180,Station CB 3.2  Depth B m SizeFrac 180 μm,3-2-B-180_R1_ren.fastq.gz,3-2-B-180_R2_ren.fastq.gz
3-2-B-20,Station CB 3.2  Depth B m SizeFrac 20 μm,3-2-B-20_R1_ren.fastq.gz,3-2-B-20_R2_ren.fastq.gz
3-2-B-5,Station CB 3.2  Depth B m SizeFrac 5 μm,3-2-B-5_R1_ren.fastq.gz,3-2-B-5_R2_ren.fastq.gz
3-2-B-500,Station CB 3.2  Depth B m SizeFrac 500 μm,3-2-B-500_R1_ren.fastq.gz,3-2-B-500_R2_ren.fastq.gz
3-2-B-53,Station CB 3.2  Depth B m SizeFrac 53 μm,3-2-B-53_R1_ren.fastq.gz,3-2-B-53_R2_ren.fastq.gz
3-2-DNA-control-11-Dec,DNA Extraction Control 3-2-DNA-control-11-Dec,3-2-DNA-control-11-Dec_R1_ren.fastq.gz,3-2-DNA-control-11-Dec_R2_ren.fastq.gz
3-2-S-0-2,Station CB 3.2  Depth S m SizeFrac 0.2 μm,3-2-S-0-2_R1_ren.fastq.gz,3-2-S-0-2_R2_ren.fastq.gz
3-2-S-1-2,Station CB 3.2  Depth S m SizeFrac 1.2 μm,3-2-S-1-2_R1_ren.fastq.gz,3-2-S-1-2_R2_ren.fastq.gz
3-2-S-180,Station CB 3.2  Depth S m SizeFrac 180 μm,3-2-S-180_R1_ren.fastq.gz,3-2-S-180_R2_ren.fastq.gz
3-2-S-20,Station CB 3.2  Depth S m SizeFrac 20 μm,3-2-S-20_R1_ren.fastq.gz,3-2-S-20_R2_ren.fastq.gz
3-2-S-5,Station CB 3.2  Depth S m SizeFrac 5 μm,3-2-S-5_R1_ren.fastq.gz,3-2-S-5_R2_ren.fastq.gz
3-2-S-500,Station CB 3.2  Depth S m SizeFrac 500 μm,3-2-S-500_R1_ren.fastq.gz,3-2-S-500_R2_ren.fastq.gz
3-2-S-53,Station CB 3.2  Depth S m SizeFrac 53 μm,3-2-S-53_R1_ren.fastq.gz,3-2-S-53_R2_ren.fastq.gz
3-3-B-0-2,Station CB 3.3  Depth B m SizeFrac 0.2 μm,3-3-B-0-2_R1_ren.fastq.gz,3-3-B-0-2_R2_ren.fastq.gz
3-3-B-1-2,Station CB 3.3  Depth B m SizeFrac 1.2 μm,3-3-B-1-2_R1_ren.fastq.gz,3-3-B-1-2_R2_ren.fastq.gz
3-3-B-180,Station CB 3.3  Depth B m SizeFrac 180 μm,3-3-B-180_R1_ren.fastq.gz,3-3-B-180_R2_ren.fastq.gz
3-3-B-20,Station CB 3.3  Depth B m SizeFrac 20 μm,3-3-B-20_R1_ren.fastq.gz,3-3-B-20_R2_ren.fastq.gz
3-3-B-5,Station CB 3.3  Depth B m SizeFrac 5 μm,3-3-B-5_R1_ren.fastq.gz,3-3-B-5_R2_ren.fastq.gz
3-3-B-500,Station CB 3.3  Depth B m SizeFrac 500 μm,3-3-B-500_R1_ren.fastq.gz,3-3-B-500_R2_ren.fastq.gz
3-3-B-53,Station CB 3.3  Depth B m SizeFrac 53 μm,3-3-B-53_R1_ren.fastq.gz,3-3-B-53_R2_ren.fastq.gz
3-3-DNA-control-10-Jan,DNA Extraction Control 3-3-DNA-control-10-Jan,3-3-DNA-control-10-Jan_R1_ren.fastq.gz,3-3-DNA-control-10-Jan_R2_ren.fastq.gz
3-3-S-0-2,Station CB 3.3  Depth S m SizeFrac 0.2 μm,3-3-S-0-2_R1_ren.fastq.gz,3-3-S-0-2_R2_ren.fastq.gz
3-3-S-1-2,Station CB 3.3  Depth S m SizeFrac 1.2 μm,3-3-S-1-2_R1_ren.fastq.gz,3-3-S-1-2_R2_ren.fastq.gz
3-3-S-180,Station CB 3.3  Depth S m SizeFrac 180 μm,3-3-S-180_R1_ren.fastq.gz,3-3-S-180_R2_ren.fastq.gz
3-3-S-20,Station CB 3.3  Depth S m SizeFrac 20 μm,3-3-S-20_R1_ren.fastq.gz,3-3-S-20_R2_ren.fastq.gz
3-3-S-5,Station CB 3.3  Depth S m SizeFrac 5 μm,3-3-S-5_R1_ren.fastq.gz,3-3-S-5_R2_ren.fastq.gz
3-3-S-500,Station CB 3.3  Depth S m SizeFrac 500 μm,3-3-S-500_R1_ren.fastq.gz,3-3-S-500_R2_ren.fastq.gz
3-3-S-53,Station CB 3.3  Depth S m SizeFrac 53 μm,3-3-S-53_R1_ren.fastq.gz,3-3-S-53_R2_ren.fastq.gz
4-3-B-0-2,Station CB 4.3  Depth B m SizeFrac 0.2 μm,4-3-B-0-2_R1_ren.fastq.gz,4-3-B-0-2_R2_ren.fastq.gz
4-3-B-1-2,Station CB 4.3  Depth B m SizeFrac 1.2 μm,4-3-B-1-2_R1_ren.fastq.gz,4-3-B-1-2_R2_ren.fastq.gz
4-3-B-180,Station CB 4.3  Depth B m SizeFrac 180 μm,4-3-B-180_R1_ren.fastq.gz,4-3-B-180_R2_ren.fastq.gz
4-3-B-20,Station CB 4.3  Depth B m SizeFrac 20 μm,4-3-B-20_R1_ren.fastq.gz,4-3-B-20_R2_ren.fastq.gz
4-3-B-5,Station CB 4.3  Depth B m SizeFrac 5 μm,4-3-B-5_R1_ren.fastq.gz,4-3-B-5_R2_ren.fastq.gz
4-3-B-500,Station CB 4.3  Depth B m SizeFrac 500 μm,4-3-B-500_R1_ren.fastq.gz,4-3-B-500_R2_ren.fastq.gz
4-3-B-53,Station CB 4.3  Depth B m SizeFrac 53 μm,4-3-B-53_R1_ren.fastq.gz,4-3-B-53_R2_ren.fastq.gz
4-3-DNA-control-13-Jan,DNA Extraction Control 4-3-DNA-control-13-Jan,4-3-DNA-control-13-Jan_R1_ren.fastq.gz,4-3-DNA-control-13-Jan_R2_ren.fastq.gz
4-3-O-0-2,Station CB 4.3  Depth O m SizeFrac 0.2 μm,4-3-O-0-2_R1_ren.fastq.gz,4-3-O-0-2_R2_ren.fastq.gz
4-3-O-1-2,Station CB 4.3  Depth O m SizeFrac 1.2 μm,4-3-O-1-2_R1_ren.fastq.gz,4-3-O-1-2_R2_ren.fastq.gz
4-3-O-180,Station CB 4.3  Depth O m SizeFrac 180 μm,4-3-O-180_R1_ren.fastq.gz,4-3-O-180_R2_ren.fastq.gz
4-3-O-20,Station CB 4.3  Depth O m SizeFrac 20 μm,4-3-O-20_R1_ren.fastq.gz,4-3-O-20_R2_ren.fastq.gz
4-3-O-5,Station CB 4.3  Depth O m SizeFrac 5 μm,4-3-O-5_R1_ren.fastq.gz,4-3-O-5_R2_ren.fastq.gz
4-3-O-500,Station CB 4.3  Depth O m SizeFrac 500 μm,4-3-O-500_R1_ren.fastq.gz,4-3-O-500_R2_ren.fastq.gz
4-3-O-53,Station CB 4.3  Depth O m SizeFrac 53 μm,4-3-O-53_R1_ren.fastq.gz,4-3-O-53_R2_ren.fastq.gz
4-3-S-0-2,Station CB 4.3  Depth S m SizeFrac 0.2 μm,4-3-S-0-2_R1_ren.fastq.gz,4-3-S-0-2_R2_ren.fastq.gz
4-3-S-1-2,Station CB 4.3  Depth S m SizeFrac 1.2 μm,4-3-S-1-2_R1_ren.fastq.gz,4-3-S-1-2_R2_ren.fastq.gz
4-3-S-180,Station CB 4.3  Depth S m SizeFrac 180 μm,4-3-S-180_R1_ren.fastq.gz,4-3-S-180_R2_ren.fastq.gz
4-3-S-20,Station CB 4.3  Depth S m SizeFrac 20 μm,4-3-S-20_R1_ren.fastq.gz,4-3-S-20_R2_ren.fastq.gz
4-3-S-500,Station CB 4.3  Depth S m SizeFrac 500 μm,4-3-S-500_R1_ren.fastq.gz,4-3-S-500_R2_ren.fastq.gz
4-3-S-53,Station CB 4.3  Depth S m SizeFrac 53 μm,4-3-S-53_R1_ren.fastq.gz,4-3-S-53_R2_ren.fastq.gz
5-1-B-0-2,Station CB 5.1  Depth B m SizeFrac 0.2 μm,5-1-B-0-2_R1_ren.fastq.gz,5-1-B-0-2_R2_ren.fastq.gz
5-1-B-1-2,Station CB 5.1  Depth B m SizeFrac 1.2 μm,5-1-B-1-2_R1_ren.fastq.gz,5-1-B-1-2_R2_ren.fastq.gz
5-1-B-180,Station CB 5.1  Depth B m SizeFrac 180 μm,5-1-B-180_R1_ren.fastq.gz,5-1-B-180_R2_ren.fastq.gz
5-1-B-20,Station CB 5.1  Depth B m SizeFrac 20 μm,5-1-B-20_R1_ren.fastq.gz,5-1-B-20_R2_ren.fastq.gz
5-1-B-5,Station CB 5.1  Depth B m SizeFrac 5 μm,5-1-B-5_R1_ren.fastq.gz,5-1-B-5_R2_ren.fastq.gz
5-1-B-500,Station CB 5.1  Depth B m SizeFrac 500 μm,5-1-B-500_R1_ren.fastq.gz,5-1-B-500_R2_ren.fastq.gz
5-1-B-53,Station CB 5.1  Depth B m SizeFrac 53 μm,5-1-B-53_R1_ren.fastq.gz,5-1-B-53_R2_ren.fastq.gz
5-1-S-0-2,Station CB 5.1  Depth S m SizeFrac 0.2 μm,5-1-S-0-2_R1_ren.fastq.gz,5-1-S-0-2_R2_ren.fastq.gz
5-1-S-1-2,Station CB 5.1  Depth S m SizeFrac 1.2 μm,5-1-S-1-2_R1_ren.fastq.gz,5-1-S-1-2_R2_ren.fastq.gz
5-1-S-180,Station CB 5.1  Depth S m SizeFrac 180 μm,5-1-S-180_R1_ren.fastq.gz,5-1-S-180_R2_ren.fastq.gz
5-1-S-20,Station CB 5.1  Depth S m SizeFrac 20 μm,5-1-S-20_R1_ren.fastq.gz,5-1-S-20_R2_ren.fastq.gz
5-1-S-5,Station CB 5.1  Depth S m SizeFrac 5 μm,5-1-S-5_R1_ren.fastq.gz,5-1-S-5_R2_ren.fastq.gz
5-1-S-500,Station CB 5.1  Depth S m SizeFrac 500 μm,5-1-S-500_R1_ren.fastq.gz,5-1-S-500_R2_ren.fastq.gz
5-1-S-53,Station CB 5.1  Depth S m SizeFrac 53 μm,5-1-S-53_R1_ren.fastq.gz,5-1-S-53_R2_ren.fastq.gz
5-5-B-0-2,Station CB 5.5  Depth B m SizeFrac 0.2 μm,5-5-B-0-2_R1_ren.fastq.gz,5-5-B-0-2_R2_ren.fastq.gz
5-5-B-1-2,Station CB 5.5  Depth B m SizeFrac 1.2 μm,5-5-B-1-2_R1_ren.fastq.gz,5-5-B-1-2_R2_ren.fastq.gz
5-5-B-180,Station CB 5.5  Depth B m SizeFrac 180 μm,5-5-B-180_R1_ren.fastq.gz,5-5-B-180_R2_ren.fastq.gz
5-5-B-5,Station CB 5.5  Depth B m SizeFrac 5 μm,5-5-B-5_R1_ren.fastq.gz,5-5-B-5_R2_ren.fastq.gz
5-5-B-500,Station CB 5.5  Depth B m SizeFrac 500 μm,5-5-B-500_R1_ren.fastq.gz,5-5-B-500_R2_ren.fastq.gz
5-5-B-53,Station CB 5.5  Depth B m SizeFrac 53 μm,5-5-B-53_R1_ren.fastq.gz,5-5-B-53_R2_ren.fastq.gz
5-5-S-0-2,Station CB 5.5  Depth S m SizeFrac 0.2 μm,5-5-S-0-2_R1_ren.fastq.gz,5-5-S-0-2_R2_ren.fastq.gz
5-5-S-1-2,Station CB 5.5  Depth S m SizeFrac 1.2 μm,5-5-S-1-2_R1_ren.fastq.gz,5-5-S-1-2_R2_ren.fastq.gz
5-5-S-180,Station CB 5.5  Depth S m SizeFrac 180 μm,5-5-S-180_R1_ren.fastq.gz,5-5-S-180_R2_ren.fastq.gz
5-5-S-20,Station CB 5.5  Depth S m SizeFrac 20 μm,5-5-S-20_R1_ren.fastq.gz,5-5-S-20_R2_ren.fastq.gz
5-5-S-5,Station CB 5.5  Depth S m SizeFrac 5 μm,5-5-S-5_R1_ren.fastq.gz,5-5-S-5_R2_ren.fastq.gz
5-5-S-500,Station CB 5.5  Depth S m SizeFrac 500 μm,5-5-S-500_R1_ren.fastq.gz,5-5-S-500_R2_ren.fastq.gz
5-5-S-53,Station CB 5.5  Depth S m SizeFrac 53 μm,5-5-S-53_R1_ren.fastq.gz,5-5-S-53_R2_ren.fastq.gz
generous-donor,Generous Donor Sample (HPL Pier) generous-donor,generous-donor_R1_ren.fastq.gz,generous-donor_R2_ren.fastq.gz
Mock-Even,Mock Community Mock-Even,Mock-Even_R1_ren.fastq.gz,Mock-Even_R2_ren.fastq.gz
Mock-Staggered,Mock Community Mock-Staggered,Mock-Staggered_R1_ren.fastq.gz,Mock-Staggered_R2_ren.fastq.gz
C_5P1B_0P2,Station CB 5.1  Depth B m SizeFrac 0.2 μm,C_5P1B_0P2_R1_ren.fastq.gz,C_5P1B_0P2_R2_ren.fastq.gz
C_5P1B_180,Station CB 5.1  Depth B m SizeFrac 180 μm,C_5P1B_180_R1_ren.fastq.gz,C_5P1B_180_R2_ren.fastq.gz
C_5P1B_1P2,Station CB 5.1  Depth B m SizeFrac 1.2 μm,C_5P1B_1P2_R1_ren.fastq.gz,C_5P1B_1P2_R2_ren.fastq.gz
C_5P1B_20,Station CB 5.1  Depth B m SizeFrac 20 μm,C_5P1B_20_R1_ren.fastq.gz,C_5P1B_20_R2_ren.fastq.gz
C_5P1B_5,Station CB 5.1  Depth B m SizeFrac 5 μm,C_5P1B_5_R1_ren.fastq.gz,C_5P1B_5_R2_ren.fastq.gz
C_5P1B_500,Station CB 5.1  Depth B m SizeFrac 500 μm,C_5P1B_500_R1_ren.fastq.gz,C_5P1B_500_R2_ren.fastq.gz
C_5P1B_53,Station CB 5.1  Depth B m SizeFrac 53 μm,C_5P1B_53_R1_ren.fastq.gz,C_5P1B_53_R2_ren.fastq.gz
C4,DNA Extraction Control C4,C4_R1_ren.fastq.gz,C4_R2_ren.fastq.gz
C5,DNA Extraction Control C5,C5_R1_ren.fastq.gz,C5_R2_ren.fastq.gz
C6,DNA Extraction Control C6,C6_R1_ren.fastq.gz,C6_R2_ren.fastq.gz
H_E,Mock Community H_E,H_E_R1_ren.fastq.gz,H_E_R2_ren.fastq.gz
H_GD,Generous Donor Sample (HPL Pier) H_GD,H_GD_R1_ren.fastq.gz,H_GD_R2_ren.fastq.gz
H_NC,PCR Control H_NC,H_NC_R1_ren.fastq.gz,H_NC_R2_ren.fastq.gz
H_S,Mock Community H_S,H_S_R1_ren.fastq.gz,H_S_R2_ren.fastq.gz
