Station,Depth,sample_depth,Size53,Size_Class,DNA_concentration,Dilution 5ng/Î¼l TE,TE_volume,ng_DNA,Volume_through_mesh,Backrinse,Microscopy_vol,Volume_through_DNAfilter,Volume_through_GFF,GFF Filter ID,GFF_PreWeight,GFF_PostWeight
3.1,Bottom,7,<53,0.2,24.3,7.720000000000001,25,607.5,NA,NA,NA,0.2,NA,NA,NA,NA
3.1,Bottom,7,<53,1.2,46,16.4,25,1150,0.48,0.48,0.04,0.24,0.2,138,26.451,30.151
3.1,Bottom,7,<53,5,21.2,6.48,25,530,0.925,0.765,0.04,0.2,0.15,183,26.417,32.98
3.1,Bottom,7,<53,20,44.3,15.719999999999999,25,1107.5,14,0.51,0.04,0.24,0.2,175,26.499,94.308
3.1,Bottom,7,>=53,53,47.6,17.04,25,1190,14,0.72,0.04,0.3,0.2,157,26.613,37.448
3.1,Bottom,7,>=53,180,20.9,6.359999999999999,25,522.5,14,0.64,0.04,0.3,0.2,158,26.351,28.539
3.1,Bottom,7,>=53,500,2.92,-0.8320000000000001,25,73,14,0.38,0.04,0.18,0.15,136,26.046,27.606
3.1,Surface,3,<53,0.2,31,10.4,25,775,NA,NA,NA,0.21,NA,NA,NA,NA
3.1,Surface,3,<53,1.2,32.7,11.080000000000002,25,817.5000000000001,0.475,0.475,0.04,0.235,0.2,172,26.35,27.618
3.1,Surface,3,<53,5,0.207,-1.9172,25,5.175,0.55,0.41,0.04,0.255,0.15,191,26.882,27.48
3.1,Surface,3,<53,20,0.219,-1.9124,25,5.475,16,0.69,0.04,0.3,0.2,180,28.153,30.754
3.1,Surface,3,>=53,53,0.233,-1.9068,25,5.825,16,0.535,0.04,0.28,0.2,166,25.746,26.849
3.1,Surface,3,>=53,180,8.79,1.5159999999999996,25,219.74999999999997,16.5,0.32,0.04,0.14,0.14,137,26.981,27.476
3.1,Surface,3,>=53,500,NA,NA,NA,NA,16.5,0.35,0.04,0.15,0.15,151,25.928,26.585
3.2,Bottom,7,<53,0.2,47.4,16.96,25,1185,NA,NA,NA,0.255,NA,NA,NA,NA
3.2,Bottom,7,<53,1.2,129.2,49.67999999999999,25,3229.9999999999995,0.56,0.5599999999999999,0.04,0.31,0.21,177,27.394,31.253
3.2,Bottom,7,<53,5,32,10.8,25,800,0.78,0.44,0.04,0.2,0.2,160,26.404,30.756
3.2,Bottom,7,<53,20,39.4,13.76,25,985,14,0.655,0.04,0.3,0.2,187,26.579,34.509
3.2,Bottom,7,>=53,53,52,18.8,25,1300,14,0.48,0.04,0.25,0.2,145,26.62,29.726
3.2,Bottom,7,>=53,180,42.9,15.16,25,1072.5,14,0.39,0.04,0.18,0.15,176,25.816,28.104
3.2,Bottom,7,>=53,500,4.51,-0.19600000000000017,25,112.75,14,0.37,0.04,0.17,0.15,132,26.749,29.109
3.2,Surface,3,<53,0.2,40.6,14.240000000000002,25,1015,NA,NA,NA,0.28,NA,NA,NA,NA
3.2,Surface,3,<53,1.2,59,21.6,25,1475,0.48,0.48,0.04,0.34,0.1,192,26.649,27.996
3.2,Surface,3,<53,5,20.9,6.359999999999999,25,522.5,0.547,0.38,0.04,0.25,0.105,184,26.409,27.696
3.2,Surface,3,<53,20,29.8,9.92,25,745,13,0.36,0.04,0.16,0.1,147,26.551,27.924
3.2,Surface,3,>=53,53,42.1,14.84,25,1052.5,13,0.3,0.04,0.15,0.105,164,26.292,27.86
3.2,Surface,3,>=53,180,1.72,-1.312,25,43,13,0.265,0.04,0.13,0.1,165,26.574,27.528
3.2,Surface,3,>=53,500,0.54,-1.784,25,13.5,13,0.312,0.04,0.15,0.12,190,27.089,28.334
3.3,Bottom,7,<53,0.2,20.6,6.24,25,515,NA,NA,NA,0.28,NA,NA,NA,NA
3.3,Bottom,7,<53,1.2,81.2,30.480000000000004,25,2030,0.56,0.5599999999999999,0.04,0.31,0.21,135,26.169,29.792
3.3,Bottom,7,<53,5,62,22.8,25,1550,1.55,0.72,0.04,0.3,0.2,179,26.239,31.271
3.3,Bottom,7,<53,20,71,26.4,25,1775,13.5,0.63,0.04,0.3,0.2,188,27.032,38.348
3.3,Bottom,7,>=53,53,59.6,21.84,25,1490,13.5,1.42,0.04,0.3,0.2,150,26.223,30.444
3.3,Bottom,7,>=53,180,21.8,6.720000000000001,25,545,13.5,0.46,0.04,0.21,0.21,162,26.556,31.257
3.3,Bottom,7,>=53,500,9.08,1.6320000000000001,25,227,13.5,0.355,0.04,0.15,0.15,140,25.722,33.311
3.3,Surface,3,<53,0.2,NA,NA,25,NA,NA,NA,NA,0.23,NA,NA,NA,NA
3.3,Surface,3,<53,1.2,NA,NA,25,NA,0.5,0.5,0.04,0.26,0.2,163,26.516,28.438
3.3,Surface,3,<53,5,0.302,NA,25,7.55,0.805,0.58,0.04,0.31,0.2,139,26.716,28.713
3.3,Surface,3,<53,20,46.8,16.72,25,1170,17,0.41,0.04,0.2,0.175,152,26.855,30.653
3.3,Surface,3,>=53,53,59,21.6,25,1475,17,0.265,0.04,0.125,0.1,169,26.513,29.288
3.3,Surface,3,>=53,180,9.64,1.8560000000000003,25,241,17,0.15,0.04,0.06,0.05,149,26.618,28.655
3.3,Surface,3,>=53,500,16.1,4.44,25,402.50000000000006,17,0.2,0.04,0.1,0.05,159,26.73,28.446
4.3,Oxy,6,<53,0.2,42.3,14.919999999999998,25,1057.5,NA,NA,NA,0.33,NA,NA,NA,NA
4.3,Oxy,6,<53,1.2,47.5,17,25,1187.5,0.575,0.575,0.04,0.355,0.18,116,26.525,30.848
4.3,Oxy,6,<53,5,6.41,0.5640000000000001,25,160.25,0.615,0.615,0.04,0.3,0.2,128,26.336,30.334
4.3,Oxy,6,<53,20,NA,NA,25,NA,12.5,0.54,0.04,0.3,0.19,153,27.272,32.368
4.3,Oxy,6,>=53,53,30.4,10.16,25,760,12.5,0.535,0.04,0.28,0.2,100,26.934,33.056
4.3,Oxy,6,>=53,180,12.1,2.84,25,302.5,12.5,0.54,0.04,0.31,0.18,141,25.866,30.438
4.3,Oxy,6,>=53,500,30.2,10.08,25,755,12.5,0.505,0.04,0.26,0.2,103,26.116,32.141
4.3,Bottom,19.1,<53,0.2,17.8,5.12,25,445,NA,NA,NA,0.28,NA,NA,NA,NA
4.3,Bottom,19.1,<53,1.2,45,16,25,1125,0.535,0.5349999999999999,0.04,0.295,0.2,110,26.23,28.869
4.3,Bottom,19.1,<53,5,4.67,-0.13200000000000012,25,116.75,0.605,0.42,0.04,0.19,0.18,107,25.886,28.427
4.3,Bottom,19.1,<53,20,13.7,3.4799999999999995,25,342.5,15.5,0.45,0.04,0.21,0.2,105,27.001,30.394
4.3,Bottom,19.1,>=53,53,4.75,-0.10000000000000009,25,118.75,15.5,0.35,0.04,0.16,0.15,109,25.801,29.816
4.3,Bottom,19.1,>=53,180,2.24,-1.1039999999999999,25,56.00000000000001,15.5,0.476,0.04,0.26,0.16,101,25.863,29.714
4.3,Bottom,19.1,>=53,500,3.58,-0.5680000000000001,25,89.5,15.5,0.53,0.04,0.26,0.2,111,25.837,29.247
4.3,Surface,3,<53,0.2,55,20,25,1375,NA,NA,NA,0.2,NA,NA,NA,NA
4.3,Surface,3,<53,1.2,NA,-2,25,NA,0.43,0.43000000000000005,0.04,0.22,0.17,168,26.836,30.817
4.3,Surface,3,<53,5,20.5,6.199999999999999,25,512.5,1.17,0.58,0.04,0.32,0.2,161,26.96,29.68
4.3,Surface,3,<53,20,45.6,16.240000000000002,25,1140,13,0.365,0.04,0.2,0.12,156,26.384,29.795
4.3,Surface,3,>=53,53,51,18.4,25,1275,13,0.42,0.04,0.2,0.175,24,26.188,29.608
4.3,Surface,3,>=53,180,27.8,9.120000000000001,25,695,13,0.46,0.04,0.215,0.2,144,26.817,30.286
4.3,Surface,3,>=53,500,8.35,1.3399999999999999,25,208.75,13,0.51,0.04,0.27,0.19,129,26.416,30.046
5.1,Bottom,32.5,<53,0.2,23.7,7.48,25,592.5,NA,NA,NA,0.2,NA,NA,NA,NA
5.1,Bottom,32.5,<53,1.2,55,20,25,1375,0.49,0.49,0.04,0.25,0.2,131,26.05,30.268
5.1,Bottom,32.5,<53,5,11.2,2.4799999999999995,25,280,0.9,0.43,0.04,NA,0.16,120,26.326,30.802
5.1,Bottom,32.5,<53,20,31.2,10.48,25,780,20,0.38,0.04,0.18,0.14,123,26.041,34.283
5.1,Bottom,32.5,>=53,53,13.2,3.2799999999999994,25,330,20,0.37,0.04,0.18,0.16,146,26.696,31.369
5.1,Bottom,32.5,>=53,180,2.11,-1.1560000000000001,25,52.75,20,0.42,0.04,0.2,0.125,114,26.218,29.418
5.1,Bottom,32.5,>=53,500,1.47,-1.412,25,36.75,20,0.375,0.04,0.16,0.125,113,26.514,27.988
5.1,Surface,7,<53,0.2,34.9,11.959999999999999,25,872.5,NA,NA,NA,0.15,NA,NA,NA,NA
5.1,Surface,7,<53,1.2,120,46,25,3000,0.365,0.365,0.04,0.15,0.175,148,25.574,27.578
5.1,Surface,7,<53,5,31.6,10.64,25,790,0.9,0.535,0.04,0.28,0.21,104,26.367,28.847
5.1,Surface,7,<53,20,19.7,5.88,25,492.5,16.5,0.425,0.04,0.175,0.2,154,26.818,30.339
5.1,Surface,7,>=53,53,55,20,25,1375,16.5,0.39,0.04,0.18,0.14,102,26.489,29.151
5.1,Surface,7,>=53,180,20.6,6.24,25,515,18.5,0.39,0.04,0.22,0.12,125,26.222,28.841
5.1,Surface,7,>=53,500,28,9.2,25,700,18.5,0.43,0.04,0.22,0.05,119,25.878,28.555
5.5,Bottom,13,<53,0.2,54,19.6,25,1350,NA,NA,NA,0.31,NA,NA,NA,NA
5.5,Bottom,13,<53,1.2,NA,NA,25,NA,0.6,0.6,0.04,0.36,0.2,134,26.485,30.298
5.5,Bottom,13,<53,5,6.83,0.7320000000000002,25,170.75,1.5,0.5,0.04,0.27,0.2,29,26.886,30.567
5.5,Bottom,13,<53,20,0.218,-1.9128,25,5.45,10,0.49,0.04,0.275,0.18,125,26.222,28.841
5.5,Bottom,13,>=53,53,29.7,9.879999999999999,25,742.5,10,0.48,0.04,0.275,0.2,112,26.235,31.24
5.5,Bottom,13,>=53,180,2.2,-1.1199999999999999,25,55.00000000000001,10,0.425,0.04,0.2,0.2,117,26.281,30.784
5.5,Bottom,13,>=53,500,1.69,-1.324,25,42.25,10,0.34,0.04,0.2,0.1,122,26.582,30.684
5.5,Surface,3,<53,0.2,NA,NA,25,NA,NA,NA,NA,0.16,NA,NA,NA,NA
5.5,Surface,3,<53,1.2,NA,NA,25,NA,0.41,0.41000000000000003,0.04,0.16,0.21,108,26.311,29.32
5.5,Surface,3,<53,5,34.3,11.719999999999999,25,857.4999999999999,1.3,0.52,0.04,0.24,0.17,106,26.101,28.78
5.5,Surface,3,<53,20,NA,NA,25,NA,14.5,0.42,0.04,0.25,0.15,27,26.505,30.628
5.5,Surface,3,>=53,53,49.6,17.84,25,1240,14.5,0.35,0.04,0.175,0.145,126,27.856,32.319
5.5,Surface,3,>=53,180,33.1,11.24,25,827.5,15,0.375,0.04,0.17,0.15,130,26.354,28.791
5.5,Surface,3,>=53,500,2.39,-1.044,25,59.75,15,0.37,0.04,0.15,0.14,115,26.287,28.946
