Run,Files,ID,ReadDir,Sample,Station,Depth,Size,Type
AH,3-1-B-0-2_S13_L001_R1_001.fastq.gz,3-1-B-0-2,1,3-1-B-0-2,3.1,B,0.2,Sample
AH,3-1-B-0-2_S13_L001_R2_001.fastq.gz,3-1-B-0-2,2,3-1-B-0-2,3.1,B,0.2,Sample
AH,3-1-B-1-2_S12_L001_R1_001.fastq.gz,3-1-B-1-2,1,3-1-B-1-2,3.1,B,1.2,Sample
AH,3-1-B-1-2_S12_L001_R2_001.fastq.gz,3-1-B-1-2,2,3-1-B-1-2,3.1,B,1.2,Sample
AH,3-1-B-180_S8_L001_R1_001.fastq.gz,3-1-B-180,1,3-1-B-180,3.1,B,180,Sample
AH,3-1-B-180_S8_L001_R2_001.fastq.gz,3-1-B-180,2,3-1-B-180,3.1,B,180,Sample
AH,3-1-B-20_S10_L001_R1_001.fastq.gz,3-1-B-20,1,3-1-B-20,3.1,B,20,Sample
AH,3-1-B-20_S10_L001_R2_001.fastq.gz,3-1-B-20,2,3-1-B-20,3.1,B,20,Sample
AH,3-1-B-5_S11_L001_R1_001.fastq.gz,3-1-B-5,1,3-1-B-5,3.1,B,5,Sample
AH,3-1-B-5_S11_L001_R2_001.fastq.gz,3-1-B-5,2,3-1-B-5,3.1,B,5,Sample
AH,3-1-B-500_S7_L001_R1_001.fastq.gz,3-1-B-500,1,3-1-B-500,3.1,B,500,Sample
AH,3-1-B-500_S7_L001_R2_001.fastq.gz,3-1-B-500,2,3-1-B-500,3.1,B,500,Sample
AH,3-1-B-53_S9_L001_R1_001.fastq.gz,3-1-B-53,1,3-1-B-53,3.1,B,53,Sample
AH,3-1-B-53_S9_L001_R2_001.fastq.gz,3-1-B-53,2,3-1-B-53,3.1,B,53,Sample
AH,3-1-B-PCR-control-5-April_S96_L001_R1_001.fastq.gz,3-1-B-PCR-control-5-April,1,3-1-B-PCR-control-5-April,3.1,NA,NA,PControl
AH,3-1-B-PCR-control-5-April_S96_L001_R2_001.fastq.gz,3-1-B-PCR-control-5-April,2,3-1-B-PCR-control-5-April,3.1,NA,NA,PControl
AH,3-1-DNA-control-8-Jan_S91_L001_R1_001.fastq.gz,3-1-DNA-control-8-Jan,1,3-1-DNA-control-8-Jan,3.1,NA,NA,EControl
AH,3-1-DNA-control-8-Jan_S91_L001_R2_001.fastq.gz,3-1-DNA-control-8-Jan,2,3-1-DNA-control-8-Jan,3.1,NA,NA,EControl
AH,3-1-S-0-2_S6_L001_R1_001.fastq.gz,3-1-S-0-2,1,3-1-S-0-2,3.1,S,0.2,Sample
AH,3-1-S-0-2_S6_L001_R2_001.fastq.gz,3-1-S-0-2,2,3-1-S-0-2,3.1,S,0.2,Sample
AH,3-1-S-1-2_S5_L001_R1_001.fastq.gz,3-1-S-1-2,1,3-1-S-1-2,3.1,S,1.2,Sample
AH,3-1-S-1-2_S5_L001_R2_001.fastq.gz,3-1-S-1-2,2,3-1-S-1-2,3.1,S,1.2,Sample
AH,3-1-S-180_S2_L001_R1_001.fastq.gz,3-1-S-180,1,3-1-S-180,3.1,S,180,Sample
AH,3-1-S-180_S2_L001_R2_001.fastq.gz,3-1-S-180,2,3-1-S-180,3.1,S,180,Sample
AH,3-1-S-20_S3_L001_R1_001.fastq.gz,3-1-S-20,1,3-1-S-20,3.1,S,20,Sample
AH,3-1-S-20_S3_L001_R2_001.fastq.gz,3-1-S-20,2,3-1-S-20,3.1,S,20,Sample
AH,3-1-S-5_S4_L001_R1_001.fastq.gz,3-1-S-5,1,3-1-S-5,3.1,S,5,Sample
AH,3-1-S-5_S4_L001_R2_001.fastq.gz,3-1-S-5,2,3-1-S-5,3.1,S,5,Sample
AH,3-1-S-PCR-control-21-April_S95_L001_R1_001.fastq.gz,3-1-S-PCR-control-21-April,1,3-1-S-PCR-control-21-April,3.1,NA,NA,PControl
AH,3-1-S-PCR-control-21-April_S95_L001_R2_001.fastq.gz,3-1-S-PCR-control-21-April,2,3-1-S-PCR-control-21-April,3.1,NA,NA,PControl
AH,3-2-B-0-2_S27_L001_R1_001.fastq.gz,3-2-B-0-2,1,3-2-B-0-2,3.2,B,0.2,Sample
AH,3-2-B-0-2_S27_L001_R2_001.fastq.gz,3-2-B-0-2,2,3-2-B-0-2,3.2,B,0.2,Sample
AH,3-2-B-1-2_S26_L001_R1_001.fastq.gz,3-2-B-1-2,1,3-2-B-1-2,3.2,B,1.2,Sample
AH,3-2-B-1-2_S26_L001_R2_001.fastq.gz,3-2-B-1-2,2,3-2-B-1-2,3.2,B,1.2,Sample
AH,3-2-B-180_S22_L001_R1_001.fastq.gz,3-2-B-180,1,3-2-B-180,3.2,B,180,Sample
AH,3-2-B-180_S22_L001_R2_001.fastq.gz,3-2-B-180,2,3-2-B-180,3.2,B,180,Sample
AH,3-2-B-20_S24_L001_R1_001.fastq.gz,3-2-B-20,1,3-2-B-20,3.2,B,20,Sample
AH,3-2-B-20_S24_L001_R2_001.fastq.gz,3-2-B-20,2,3-2-B-20,3.2,B,20,Sample
AH,3-2-B-5_S25_L001_R1_001.fastq.gz,3-2-B-5,1,3-2-B-5,3.2,B,5,Sample
AH,3-2-B-5_S25_L001_R2_001.fastq.gz,3-2-B-5,2,3-2-B-5,3.2,B,5,Sample
AH,3-2-B-500_S21_L001_R1_001.fastq.gz,3-2-B-500,1,3-2-B-500,3.2,B,500,Sample
AH,3-2-B-500_S21_L001_R2_001.fastq.gz,3-2-B-500,2,3-2-B-500,3.2,B,500,Sample
AH,3-2-B-53_S23_L001_R1_001.fastq.gz,3-2-B-53,1,3-2-B-53,3.2,B,53,Sample
AH,3-2-B-53_S23_L001_R2_001.fastq.gz,3-2-B-53,2,3-2-B-53,3.2,B,53,Sample
AH,3-2-DNA-control-11-Dec_S92_L001_R1_001.fastq.gz,3-2-DNA-control-11-Dec,1,3-2-DNA-control-11-Dec,3.2,NA,NA,EControl
AH,3-2-DNA-control-11-Dec_S92_L001_R2_001.fastq.gz,3-2-DNA-control-11-Dec,2,3-2-DNA-control-11-Dec,3.2,NA,NA,EControl
AH,3-2-S-0-2_S20_L001_R1_001.fastq.gz,3-2-S-0-2,1,3-2-S-0-2,3.2,S,0.2,Sample
AH,3-2-S-0-2_S20_L001_R2_001.fastq.gz,3-2-S-0-2,2,3-2-S-0-2,3.2,S,0.2,Sample
AH,3-2-S-1-2_S19_L001_R1_001.fastq.gz,3-2-S-1-2,1,3-2-S-1-2,3.2,S,1.2,Sample
AH,3-2-S-1-2_S19_L001_R2_001.fastq.gz,3-2-S-1-2,2,3-2-S-1-2,3.2,S,1.2,Sample
AH,3-2-S-180_S15_L001_R1_001.fastq.gz,3-2-S-180,1,3-2-S-180,3.2,S,180,Sample
AH,3-2-S-180_S15_L001_R2_001.fastq.gz,3-2-S-180,2,3-2-S-180,3.2,S,180,Sample
AH,3-2-S-20_S17_L001_R1_001.fastq.gz,3-2-S-20,1,3-2-S-20,3.2,S,20,Sample
AH,3-2-S-20_S17_L001_R2_001.fastq.gz,3-2-S-20,2,3-2-S-20,3.2,S,20,Sample
AH,3-2-S-5_S18_L001_R1_001.fastq.gz,3-2-S-5,1,3-2-S-5,3.2,S,5,Sample
AH,3-2-S-5_S18_L001_R2_001.fastq.gz,3-2-S-5,2,3-2-S-5,3.2,S,5,Sample
AH,3-2-S-500_S14_L001_R1_001.fastq.gz,3-2-S-500,1,3-2-S-500,3.2,S,500,Sample
AH,3-2-S-500_S14_L001_R2_001.fastq.gz,3-2-S-500,2,3-2-S-500,3.2,S,500,Sample
AH,3-2-S-53_S16_L001_R1_001.fastq.gz,3-2-S-53,1,3-2-S-53,3.2,S,53,Sample
AH,3-2-S-53_S16_L001_R2_001.fastq.gz,3-2-S-53,2,3-2-S-53,3.2,S,53,Sample
AH,3-3-B-0-2_S41_L001_R1_001.fastq.gz,3-3-B-0-2,1,3-3-B-0-2,3.3,B,0.2,Sample
AH,3-3-B-0-2_S41_L001_R2_001.fastq.gz,3-3-B-0-2,2,3-3-B-0-2,3.3,B,0.2,Sample
AH,3-3-B-1-2_S40_L001_R1_001.fastq.gz,3-3-B-1-2,1,3-3-B-1-2,3.3,B,1.2,Sample
AH,3-3-B-1-2_S40_L001_R2_001.fastq.gz,3-3-B-1-2,2,3-3-B-1-2,3.3,B,1.2,Sample
AH,3-3-B-180_S36_L001_R1_001.fastq.gz,3-3-B-180,1,3-3-B-180,3.3,B,180,Sample
AH,3-3-B-180_S36_L001_R2_001.fastq.gz,3-3-B-180,2,3-3-B-180,3.3,B,180,Sample
AH,3-3-B-20_S38_L001_R1_001.fastq.gz,3-3-B-20,1,3-3-B-20,3.3,B,20,Sample
AH,3-3-B-20_S38_L001_R2_001.fastq.gz,3-3-B-20,2,3-3-B-20,3.3,B,20,Sample
AH,3-3-B-5_S39_L001_R1_001.fastq.gz,3-3-B-5,1,3-3-B-5,3.3,B,5,Sample
AH,3-3-B-5_S39_L001_R2_001.fastq.gz,3-3-B-5,2,3-3-B-5,3.3,B,5,Sample
AH,3-3-B-500_S35_L001_R1_001.fastq.gz,3-3-B-500,1,3-3-B-500,3.3,B,500,Sample
AH,3-3-B-500_S35_L001_R2_001.fastq.gz,3-3-B-500,2,3-3-B-500,3.3,B,500,Sample
AH,3-3-B-53_S37_L001_R1_001.fastq.gz,3-3-B-53,1,3-3-B-53,3.3,B,53,Sample
AH,3-3-B-53_S37_L001_R2_001.fastq.gz,3-3-B-53,2,3-3-B-53,3.3,B,53,Sample
AH,3-3-DNA-control-10-Jan_S93_L001_R1_001.fastq.gz,3-3-DNA-control-10-Jan,1,3-3-DNA-control-10-Jan,3.3,NA,NA,EControl
AH,3-3-DNA-control-10-Jan_S93_L001_R2_001.fastq.gz,3-3-DNA-control-10-Jan,2,3-3-DNA-control-10-Jan,3.3,NA,NA,EControl
AH,3-3-S-0-2_S34_L001_R1_001.fastq.gz,3-3-S-0-2,1,3-3-S-0-2,3.3,S,0.2,Sample
AH,3-3-S-0-2_S34_L001_R2_001.fastq.gz,3-3-S-0-2,2,3-3-S-0-2,3.3,S,0.2,Sample
AH,3-3-S-1-2_S33_L001_R1_001.fastq.gz,3-3-S-1-2,1,3-3-S-1-2,3.3,S,1.2,Sample
AH,3-3-S-1-2_S33_L001_R2_001.fastq.gz,3-3-S-1-2,2,3-3-S-1-2,3.3,S,1.2,Sample
AH,3-3-S-180_S29_L001_R1_001.fastq.gz,3-3-S-180,1,3-3-S-180,3.3,S,180,Sample
AH,3-3-S-180_S29_L001_R2_001.fastq.gz,3-3-S-180,2,3-3-S-180,3.3,S,180,Sample
AH,3-3-S-20_S31_L001_R1_001.fastq.gz,3-3-S-20,1,3-3-S-20,3.3,S,20,Sample
AH,3-3-S-20_S31_L001_R2_001.fastq.gz,3-3-S-20,2,3-3-S-20,3.3,S,20,Sample
AH,3-3-S-5_S32_L001_R1_001.fastq.gz,3-3-S-5,1,3-3-S-5,3.3,S,5,Sample
AH,3-3-S-5_S32_L001_R2_001.fastq.gz,3-3-S-5,2,3-3-S-5,3.3,S,5,Sample
AH,3-3-S-500_S28_L001_R1_001.fastq.gz,3-3-S-500,1,3-3-S-500,3.3,S,500,Sample
AH,3-3-S-500_S28_L001_R2_001.fastq.gz,3-3-S-500,2,3-3-S-500,3.3,S,500,Sample
AH,3-3-S-53_S30_L001_R1_001.fastq.gz,3-3-S-53,1,3-3-S-53,3.3,S,53,Sample
AH,3-3-S-53_S30_L001_R2_001.fastq.gz,3-3-S-53,2,3-3-S-53,3.3,S,53,Sample
AH,4-3-B-0-2_S61_L001_R1_001.fastq.gz,4-3-B-0-2,1,4-3-B-0-2,4.3,B,0.2,Sample
AH,4-3-B-0-2_S61_L001_R2_001.fastq.gz,4-3-B-0-2,2,4-3-B-0-2,4.3,B,0.2,Sample
AH,4-3-B-1-2_S60_L001_R1_001.fastq.gz,4-3-B-1-2,1,4-3-B-1-2,4.3,B,1.2,Sample
AH,4-3-B-1-2_S60_L001_R2_001.fastq.gz,4-3-B-1-2,2,4-3-B-1-2,4.3,B,1.2,Sample
AH,4-3-B-180_S56_L001_R1_001.fastq.gz,4-3-B-180,1,4-3-B-180,4.3,B,180,Sample
AH,4-3-B-180_S56_L001_R2_001.fastq.gz,4-3-B-180,2,4-3-B-180,4.3,B,180,Sample
AH,4-3-B-20_S58_L001_R1_001.fastq.gz,4-3-B-20,1,4-3-B-20,4.3,B,20,Sample
AH,4-3-B-20_S58_L001_R2_001.fastq.gz,4-3-B-20,2,4-3-B-20,4.3,B,20,Sample
AH,4-3-B-5_S59_L001_R1_001.fastq.gz,4-3-B-5,1,4-3-B-5,4.3,B,5,Sample
AH,4-3-B-5_S59_L001_R2_001.fastq.gz,4-3-B-5,2,4-3-B-5,4.3,B,5,Sample
AH,4-3-B-500_S55_L001_R1_001.fastq.gz,4-3-B-500,1,4-3-B-500,4.3,B,500,Sample
AH,4-3-B-500_S55_L001_R2_001.fastq.gz,4-3-B-500,2,4-3-B-500,4.3,B,500,Sample
AH,4-3-B-53_S57_L001_R1_001.fastq.gz,4-3-B-53,1,4-3-B-53,4.3,B,53,Sample
AH,4-3-B-53_S57_L001_R2_001.fastq.gz,4-3-B-53,2,4-3-B-53,4.3,B,53,Sample
AH,4-3-DNA-control-13-Jan_S94_L001_R1_001.fastq.gz,4-3-DNA-control-13-Jan,1,4-3-DNA-control-13-Jan,4.3,NA,NA,EControl
AH,4-3-DNA-control-13-Jan_S94_L001_R2_001.fastq.gz,4-3-DNA-control-13-Jan,2,4-3-DNA-control-13-Jan,4.3,NA,NA,EControl
AH,4-3-O-0-2_S54_L001_R1_001.fastq.gz,4-3-O-0-2,1,4-3-O-0-2,4.3,O,0.2,Sample
AH,4-3-O-0-2_S54_L001_R2_001.fastq.gz,4-3-O-0-2,2,4-3-O-0-2,4.3,O,0.2,Sample
AH,4-3-O-1-2_S53_L001_R1_001.fastq.gz,4-3-O-1-2,1,4-3-O-1-2,4.3,O,1.2,Sample
AH,4-3-O-1-2_S53_L001_R2_001.fastq.gz,4-3-O-1-2,2,4-3-O-1-2,4.3,O,1.2,Sample
AH,4-3-O-180_S49_L001_R1_001.fastq.gz,4-3-O-180,1,4-3-O-180,4.3,O,180,Sample
AH,4-3-O-180_S49_L001_R2_001.fastq.gz,4-3-O-180,2,4-3-O-180,4.3,O,180,Sample
AH,4-3-O-20_S51_L001_R1_001.fastq.gz,4-3-O-20,1,4-3-O-20,4.3,O,20,Sample
AH,4-3-O-20_S51_L001_R2_001.fastq.gz,4-3-O-20,2,4-3-O-20,4.3,O,20,Sample
AH,4-3-O-5_S52_L001_R1_001.fastq.gz,4-3-O-5,1,4-3-O-5,4.3,O,5,Sample
AH,4-3-O-5_S52_L001_R2_001.fastq.gz,4-3-O-5,2,4-3-O-5,4.3,O,5,Sample
AH,4-3-O-500_S48_L001_R1_001.fastq.gz,4-3-O-500,1,4-3-O-500,4.3,O,500,Sample
AH,4-3-O-500_S48_L001_R2_001.fastq.gz,4-3-O-500,2,4-3-O-500,4.3,O,500,Sample
AH,4-3-O-53_S50_L001_R1_001.fastq.gz,4-3-O-53,1,4-3-O-53,4.3,O,53,Sample
AH,4-3-O-53_S50_L001_R2_001.fastq.gz,4-3-O-53,2,4-3-O-53,4.3,O,53,Sample
AH,4-3-S-0-2_S47_L001_R1_001.fastq.gz,4-3-S-0-2,1,4-3-S-0-2,4.3,S,0.2,Sample
AH,4-3-S-0-2_S47_L001_R2_001.fastq.gz,4-3-S-0-2,2,4-3-S-0-2,4.3,S,0.2,Sample
AH,4-3-S-1-2_S46_L001_R1_001.fastq.gz,4-3-S-1-2,1,4-3-S-1-2,4.3,S,1.2,Sample
AH,4-3-S-1-2_S46_L001_R2_001.fastq.gz,4-3-S-1-2,2,4-3-S-1-2,4.3,S,1.2,Sample
AH,4-3-S-180_S43_L001_R1_001.fastq.gz,4-3-S-180,1,4-3-S-180,4.3,S,180,Sample
AH,4-3-S-180_S43_L001_R2_001.fastq.gz,4-3-S-180,2,4-3-S-180,4.3,S,180,Sample
AH,4-3-S-20_S45_L001_R1_001.fastq.gz,4-3-S-20,1,4-3-S-20,4.3,S,20,Sample
AH,4-3-S-20_S45_L001_R2_001.fastq.gz,4-3-S-20,2,4-3-S-20,4.3,S,20,Sample
AH,4-3-S-500_S42_L001_R1_001.fastq.gz,4-3-S-500,1,4-3-S-500,4.3,S,500,Sample
AH,4-3-S-500_S42_L001_R2_001.fastq.gz,4-3-S-500,2,4-3-S-500,4.3,S,500,Sample
AH,4-3-S-53_S44_L001_R1_001.fastq.gz,4-3-S-53,1,4-3-S-53,4.3,S,53,Sample
AH,4-3-S-53_S44_L001_R2_001.fastq.gz,4-3-S-53,2,4-3-S-53,4.3,S,53,Sample
AH,5-1-B-0-2_S75_L001_R1_001.fastq.gz,5-1-B-0-2,1,5-1-B-0-2,5.1,B,0.2,Sample
AH,5-1-B-0-2_S75_L001_R2_001.fastq.gz,5-1-B-0-2,2,5-1-B-0-2,5.1,B,0.2,Sample
AH,5-1-B-1-2_S74_L001_R1_001.fastq.gz,5-1-B-1-2,1,5-1-B-1-2,5.1,B,1.2,Sample
AH,5-1-B-1-2_S74_L001_R2_001.fastq.gz,5-1-B-1-2,2,5-1-B-1-2,5.1,B,1.2,Sample
AH,5-1-B-180_S70_L001_R1_001.fastq.gz,5-1-B-180,1,5-1-B-180,5.1,B,180,Sample
AH,5-1-B-180_S70_L001_R2_001.fastq.gz,5-1-B-180,2,5-1-B-180,5.1,B,180,Sample
AH,5-1-B-20_S72_L001_R1_001.fastq.gz,5-1-B-20,1,5-1-B-20,5.1,B,20,Sample
AH,5-1-B-20_S72_L001_R2_001.fastq.gz,5-1-B-20,2,5-1-B-20,5.1,B,20,Sample
AH,5-1-B-5_S73_L001_R1_001.fastq.gz,5-1-B-5,1,5-1-B-5,5.1,B,5,Sample
AH,5-1-B-5_S73_L001_R2_001.fastq.gz,5-1-B-5,2,5-1-B-5,5.1,B,5,Sample
AH,5-1-B-500_S69_L001_R1_001.fastq.gz,5-1-B-500,1,5-1-B-500,5.1,B,500,Sample
AH,5-1-B-500_S69_L001_R2_001.fastq.gz,5-1-B-500,2,5-1-B-500,5.1,B,500,Sample
AH,5-1-B-53_S71_L001_R1_001.fastq.gz,5-1-B-53,1,5-1-B-53,5.1,B,53,Sample
AH,5-1-B-53_S71_L001_R2_001.fastq.gz,5-1-B-53,2,5-1-B-53,5.1,B,53,Sample
AH,5-1-S-0-2_S68_L001_R1_001.fastq.gz,5-1-S-0-2,1,5-1-S-0-2,5.1,S,0.2,Sample
AH,5-1-S-0-2_S68_L001_R2_001.fastq.gz,5-1-S-0-2,2,5-1-S-0-2,5.1,S,0.2,Sample
AH,5-1-S-1-2_S67_L001_R1_001.fastq.gz,5-1-S-1-2,1,5-1-S-1-2,5.1,S,1.2,Sample
AH,5-1-S-1-2_S67_L001_R2_001.fastq.gz,5-1-S-1-2,2,5-1-S-1-2,5.1,S,1.2,Sample
AH,5-1-S-180_S63_L001_R1_001.fastq.gz,5-1-S-180,1,5-1-S-180,5.1,S,180,Sample
AH,5-1-S-180_S63_L001_R2_001.fastq.gz,5-1-S-180,2,5-1-S-180,5.1,S,180,Sample
AH,5-1-S-20_S65_L001_R1_001.fastq.gz,5-1-S-20,1,5-1-S-20,5.1,S,20,Sample
AH,5-1-S-20_S65_L001_R2_001.fastq.gz,5-1-S-20,2,5-1-S-20,5.1,S,20,Sample
AH,5-1-S-5_S66_L001_R1_001.fastq.gz,5-1-S-5,1,5-1-S-5,5.1,S,5,Sample
AH,5-1-S-5_S66_L001_R2_001.fastq.gz,5-1-S-5,2,5-1-S-5,5.1,S,5,Sample
AH,5-1-S-500_S62_L001_R1_001.fastq.gz,5-1-S-500,1,5-1-S-500,5.1,S,500,Sample
AH,5-1-S-500_S62_L001_R2_001.fastq.gz,5-1-S-500,2,5-1-S-500,5.1,S,500,Sample
AH,5-1-S-53_S64_L001_R1_001.fastq.gz,5-1-S-53,1,5-1-S-53,5.1,S,53,Sample
AH,5-1-S-53_S64_L001_R2_001.fastq.gz,5-1-S-53,2,5-1-S-53,5.1,S,53,Sample
AH,5-5-B-0-2_S88_L001_R1_001.fastq.gz,5-5-B-0-2,1,5-5-B-0-2,5.5,B,0.2,Sample
AH,5-5-B-0-2_S88_L001_R2_001.fastq.gz,5-5-B-0-2,2,5-5-B-0-2,5.5,B,0.2,Sample
AH,5-5-B-1-2_S87_L001_R1_001.fastq.gz,5-5-B-1-2,1,5-5-B-1-2,5.5,B,1.2,Sample
AH,5-5-B-1-2_S87_L001_R2_001.fastq.gz,5-5-B-1-2,2,5-5-B-1-2,5.5,B,1.2,Sample
AH,5-5-B-180_S84_L001_R1_001.fastq.gz,5-5-B-180,1,5-5-B-180,5.5,B,180,Sample
AH,5-5-B-180_S84_L001_R2_001.fastq.gz,5-5-B-180,2,5-5-B-180,5.5,B,180,Sample
AH,5-5-B-5_S86_L001_R1_001.fastq.gz,5-5-B-5,1,5-5-B-5,5.5,B,5,Sample
AH,5-5-B-5_S86_L001_R2_001.fastq.gz,5-5-B-5,2,5-5-B-5,5.5,B,5,Sample
AH,5-5-B-500_S83_L001_R1_001.fastq.gz,5-5-B-500,1,5-5-B-500,5.5,B,500,Sample
AH,5-5-B-500_S83_L001_R2_001.fastq.gz,5-5-B-500,2,5-5-B-500,5.5,B,500,Sample
AH,5-5-B-53_S85_L001_R1_001.fastq.gz,5-5-B-53,1,5-5-B-53,5.5,B,53,Sample
AH,5-5-B-53_S85_L001_R2_001.fastq.gz,5-5-B-53,2,5-5-B-53,5.5,B,53,Sample
AH,5-5-S-0-2_S82_L001_R1_001.fastq.gz,5-5-S-0-2,1,5-5-S-0-2,5.5,S,0.2,Sample
AH,5-5-S-0-2_S82_L001_R2_001.fastq.gz,5-5-S-0-2,2,5-5-S-0-2,5.5,S,0.2,Sample
AH,5-5-S-1-2_S81_L001_R1_001.fastq.gz,5-5-S-1-2,1,5-5-S-1-2,5.5,S,1.2,Sample
AH,5-5-S-1-2_S81_L001_R2_001.fastq.gz,5-5-S-1-2,2,5-5-S-1-2,5.5,S,1.2,Sample
AH,5-5-S-180_S77_L001_R1_001.fastq.gz,5-5-S-180,1,5-5-S-180,5.5,S,180,Sample
AH,5-5-S-180_S77_L001_R2_001.fastq.gz,5-5-S-180,2,5-5-S-180,5.5,S,180,Sample
AH,5-5-S-20_S79_L001_R1_001.fastq.gz,5-5-S-20,1,5-5-S-20,5.5,S,20,Sample
AH,5-5-S-20_S79_L001_R2_001.fastq.gz,5-5-S-20,2,5-5-S-20,5.5,S,20,Sample
AH,5-5-S-5_S80_L001_R1_001.fastq.gz,5-5-S-5,1,5-5-S-5,5.5,S,5,Sample
AH,5-5-S-5_S80_L001_R2_001.fastq.gz,5-5-S-5,2,5-5-S-5,5.5,S,5,Sample
AH,5-5-S-500_S76_L001_R1_001.fastq.gz,5-5-S-500,1,5-5-S-500,5.5,S,500,Sample
AH,5-5-S-500_S76_L001_R2_001.fastq.gz,5-5-S-500,2,5-5-S-500,5.5,S,500,Sample
AH,5-5-S-53_S78_L001_R1_001.fastq.gz,5-5-S-53,1,5-5-S-53,5.5,S,53,Sample
AH,5-5-S-53_S78_L001_R2_001.fastq.gz,5-5-S-53,2,5-5-S-53,5.5,S,53,Sample
AH,generous-donor_S1_L001_R1_001.fastq.gz,generous-donor,1,generous-donor,NA,NA,NA,GD
AH,generous-donor_S1_L001_R2_001.fastq.gz,generous-donor,2,generous-donor,NA,NA,NA,GD
AH,Mock-Even_S89_L001_R1_001.fastq.gz,Mock-Even,1,Mock-Even,NA,NA,NA,Mock
AH,Mock-Even_S89_L001_R2_001.fastq.gz,Mock-Even,2,Mock-Even,NA,NA,NA,Mock
AH,Mock-Staggered_S90_L001_R1_001.fastq.gz,Mock-Staggered,1,Mock-Staggered,NA,NA,NA,Mock
AH,Mock-Staggered_S90_L001_R2_001.fastq.gz,Mock-Staggered,2,Mock-Staggered,NA,NA,NA,Mock
LM,C_5P1B_0P2_S164_L001_R1_001.fastq.gz,C_5P1B_0P2,1,C_5P1B_0P2,5.1,B,0.2,Sample
LM,C_5P1B_0P2_S164_L001_R2_001.fastq.gz,C_5P1B_0P2,2,C_5P1B_0P2,5.1,B,0.2,Sample
LM,C_5P1B_180_S159_L001_R1_001.fastq.gz,C_5P1B_180,1,C_5P1B_180,5.1,B,180,Sample
LM,C_5P1B_180_S159_L001_R2_001.fastq.gz,C_5P1B_180,2,C_5P1B_180,5.1,B,180,Sample
LM,C_5P1B_1P2_S163_L001_R1_001.fastq.gz,C_5P1B_1P2,1,C_5P1B_1P2,5.1,B,1.2,Sample
LM,C_5P1B_1P2_S163_L001_R2_001.fastq.gz,C_5P1B_1P2,2,C_5P1B_1P2,5.1,B,1.2,Sample
LM,C_5P1B_20_S161_L001_R1_001.fastq.gz,C_5P1B_20,1,C_5P1B_20,5.1,B,20,Sample
LM,C_5P1B_20_S161_L001_R2_001.fastq.gz,C_5P1B_20,2,C_5P1B_20,5.1,B,20,Sample
LM,C_5P1B_5_S162_L001_R1_001.fastq.gz,C_5P1B_5,1,C_5P1B_5,5.1,B,5,Sample
LM,C_5P1B_5_S162_L001_R2_001.fastq.gz,C_5P1B_5,2,C_5P1B_5,5.1,B,5,Sample
LM,C_5P1B_500_S158_L001_R1_001.fastq.gz,C_5P1B_500,1,C_5P1B_500,5.1,B,500,Sample
LM,C_5P1B_500_S158_L001_R2_001.fastq.gz,C_5P1B_500,2,C_5P1B_500,5.1,B,500,Sample
LM,C_5P1B_53_S160_L001_R1_001.fastq.gz,C_5P1B_53,1,C_5P1B_53,5.1,B,53,Sample
LM,C_5P1B_53_S160_L001_R2_001.fastq.gz,C_5P1B_53,2,C_5P1B_53,5.1,B,53,Sample
LM,C4_S24_L001_R1_001.fastq.gz,C4,1,C4,NA,NA,NA,EControl
LM,C4_S24_L001_R2_001.fastq.gz,C4,2,C4,NA,NA,NA,EControl
LM,C5_S48_L001_R1_001.fastq.gz,C5,1,C5,NA,NA,NA,EControl
LM,C5_S48_L001_R2_001.fastq.gz,C5,2,C5,NA,NA,NA,EControl
LM,C6_S71_L001_R1_001.fastq.gz,C6,1,C6,NA,NA,NA,EControl
LM,C6_S71_L001_R2_001.fastq.gz,C6,2,C6,NA,NA,NA,EControl
LM,H_E_S74_L001_R1_001.fastq.gz,H_E,1,H_E,NA,NA,NA,Mock
LM,H_E_S74_L001_R2_001.fastq.gz,H_E,2,H_E,NA,NA,NA,Mock
LM,H_GD_S73_L001_R1_001.fastq.gz,H_GD,1,H_GD,NA,NA,NA,GD
LM,H_GD_S73_L001_R2_001.fastq.gz,H_GD,2,H_GD,NA,NA,NA,GD
LM,H_NC_S72_L001_R1_001.fastq.gz,H_NC,1,H_NC,NA,NA,NA,PControl
LM,H_NC_S72_L001_R2_001.fastq.gz,H_NC,2,H_NC,NA,NA,NA,PControl
LM,H_S_S75_L001_R1_001.fastq.gz,H_S,1,H_S,NA,NA,NA,Mock
LM,H_S_S75_L001_R2_001.fastq.gz,H_S,2,H_S,NA,NA,NA,Mock
