Station,Depth,sample_depth,Size53,Size_Class,DNA_concentration,Dilution 5ng/Î¼l TE,TE_volume,ng_DNA,Volume_through_mesh,Backrinse,Microscopy_vol,Volume_through_DNAfilter,Volume_through_GFF,GFF Filter ID,GFF_PreWeight,GFF_PostWeight,Mass,MassperLiter,DNAperLiter,DNAperPOM
3.1,Bottom,7,<53,0.2,24.3,7.72,25,607.5,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
3.1,Bottom,7,<53,1.2,46,16.4,25,1150,0.48,0.48,0.04,0.24,0.2,138,26.451,30.151,3.7,18.5,4791.666667,259.009009
3.1,Bottom,7,<53,5,21.2,6.48,25,530,0.925,0.765,0.04,0.2,0.15,183,26.417,32.98,6.563,36.18518919,2191.621622,60.56681396
3.1,Bottom,7,<53,20,44.3,15.72,25,1107.5,14,0.51,0.04,0.24,0.2,175,26.499,94.308,67.809,12.350925,168.1026786,13.61053351
3.1,Bottom,7,>=53,53,47.6,17.04,25,1190,14,0.72,0.04,0.3,0.2,157,26.613,37.448,10.835,2.786142857,204,73.21950469
3.1,Bottom,7,>=53,180,20.9,6.36,25,522.5,14,0.64,0.04,0.3,0.2,158,26.351,28.539,2.188,0.500114286,79.61904762,159.2017063
3.1,Bottom,7,>=53,500,2.92,-0.832,25,73,14,0.38,0.04,0.18,0.15,136,26.046,27.606,1.56,0.282285714,11.00793651,38.9957265
3.1,Surface,3,<53,0.2,31,10.4,25,775,NA,NA,NA,0.21,NA,NA,NA,NA,NA,NA,NA,NA
3.1,Surface,3,<53,1.2,32.7,11.08,25,817.5,0.475,0.475,0.04,0.235,0.2,172,26.35,27.618,1.268,6.34,3478.723404,548.6945433
3.1,Surface,3,<53,5,0.207,-1.9172,25,5.175,0.55,0.41,0.04,0.255,0.15,191,26.882,27.48,0.598,2.971878788,15.12834225,5.090497738
3.1,Surface,3,<53,20,0.219,-1.9124,25,5.475,16,0.69,0.04,0.3,0.2,180,28.153,30.754,2.601,0.560840625,0.78703125,1.403306421
3.1,Surface,3,>=53,53,0.233,-1.9068,25,5.825,16,0.535,0.04,0.28,0.2,166,25.746,26.849,1.103,0.184407813,0.69561942,3.772179769
3.1,Surface,3,>=53,180,8.79,1.516,25,219.75,16.5,0.32,0.04,0.14,0.14,137,26.981,27.476,0.495,0.068571429,30.44155844,443.9393939
3.1,Surface,3,>=53,500,NA,NA,NA,NA,16.5,0.35,0.04,0.15,0.15,151,25.928,26.585,0.657,0.092909091,NA,NA
3.2,Bottom,7,<53,0.2,47.4,16.96,25,1185,NA,NA,NA,0.255,NA,NA,NA,NA,NA,NA,NA,NA
3.2,Bottom,7,<53,1.2,129.2,49.68,25,3230,0.56,0.56,0.04,0.31,0.21,177,27.394,31.253,3.859,18.37619048,10419.35484,567.0029842
3.2,Bottom,7,<53,5,32,10.8,25,800,0.78,0.44,0.04,0.2,0.2,160,26.404,30.756,4.352,12.27487179,2256.410256,183.8235294
3.2,Bottom,7,<53,20,39.4,13.76,25,985,14,0.655,0.04,0.3,0.2,187,26.579,34.509,7.93,1.855053571,153.6130952,82.80790248
3.2,Bottom,7,>=53,53,52,18.8,25,1300,14,0.48,0.04,0.25,0.2,145,26.62,29.726,3.106,0.532457143,178.2857143,334.8358017
3.2,Bottom,7,>=53,180,42.9,15.16,25,1072.5,14,0.39,0.04,0.18,0.15,176,25.816,28.104,2.288,0.424914286,165.9821429,390.625
3.2,Bottom,7,>=53,500,4.51,-0.196,25,112.75,14,0.37,0.04,0.17,0.15,132,26.749,29.109,2.36,0.415809524,17.52836134,42.15478564
3.2,Surface,3,<53,0.2,40.6,14.24,25,1015,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA
3.2,Surface,3,<53,1.2,59,21.6,25,1475,0.48,0.48,0.04,0.34,0.1,192,26.649,27.996,1.347,13.47,4338.235294,322.0664658
3.2,Surface,3,<53,5,20.9,6.36,25,522.5,0.547,0.38,0.04,0.25,0.105,184,26.409,27.696,1.287,8.515016976,1451.919561,170.5128205
3.2,Surface,3,<53,20,29.8,9.92,25,745,13,0.36,0.04,0.16,0.1,147,26.551,27.924,1.373,0.380215385,128.9423077,339.1296431
3.2,Surface,3,>=53,53,42.1,14.84,25,1052.5,13,0.3,0.04,0.15,0.105,164,26.292,27.86,1.568,0.344615385,161.9230769,469.8660714
3.2,Surface,3,>=53,180,1.72,-1.312,25,43,13,0.265,0.04,0.13,0.1,165,26.574,27.528,0.954,0.194469231,6.74260355,34.67182712
3.2,Surface,3,>=53,500,0.54,-1.784,25,13.5,13,0.312,0.04,0.15,0.12,190,27.089,28.334,1.245,0.249,2.16,8.674698795
3.3,Bottom,7,<53,0.2,20.6,6.24,25,515,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA
3.3,Bottom,7,<53,1.2,81.2,30.48,25,2030,0.56,0.56,0.04,0.31,0.21,135,26.169,29.792,3.623,17.25238095,6548.387097,379.5642535
3.3,Bottom,7,<53,5,62,22.8,25,1550,1.55,0.72,0.04,0.3,0.2,179,26.239,31.271,5.032,11.68722581,2400,205.3524112
3.3,Bottom,7,<53,20,71,26.4,25,1775,13.5,0.63,0.04,0.3,0.2,188,27.032,38.348,11.316,2.6404,276.1111111,104.5716979
3.3,Bottom,7,>=53,53,59.6,21.84,25,1490,13.5,1.42,0.04,0.3,0.2,150,26.223,30.444,4.221,2.219933333,522.4197531,235.3312801
3.3,Bottom,7,>=53,180,21.8,6.72,25,545,13.5,0.46,0.04,0.21,0.21,162,26.556,31.257,4.701,0.762772487,88.4303351,115.9327803
3.3,Bottom,7,>=53,500,9.08,1.632,25,227,13.5,0.355,0.04,0.15,0.15,140,25.722,33.311,7.589,1.330417284,39.79506173,29.91171432
3.3,Surface,3,<53,0.2,NA,NA,25,NA,NA,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA
3.3,Surface,3,<53,1.2,NA,NA,25,NA,0.5,0.5,0.04,0.26,0.2,163,26.516,28.438,1.922,9.61,NA,NA
3.3,Surface,3,<53,5,0.302,NA,25,7.55,0.805,0.58,0.04,0.31,0.2,139,26.716,28.713,1.997,7.194161491,17.54758565,2.439142585
3.3,Surface,3,<53,20,46.8,16.72,25,1170,17,0.41,0.04,0.2,0.175,152,26.855,30.653,3.798,0.523421849,141.0882353,269.549763
3.3,Surface,3,>=53,53,59,21.6,25,1475,17,0.265,0.04,0.125,0.1,169,26.513,29.288,2.775,0.432573529,183.9411765,425.2252252
3.3,Surface,3,>=53,180,9.64,1.856,25,241,17,0.15,0.04,0.06,0.05,149,26.618,28.655,2.037,0.359470588,35.44117647,98.59270169
3.3,Surface,3,>=53,500,16.1,4.44,25,402.5,17,0.2,0.04,0.1,0.05,159,26.73,28.446,1.716,0.403764706,47.35294118,117.2785548
4.3,Oxy,6,<53,0.2,42.3,14.92,25,1057.5,NA,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,NA
4.3,Oxy,6,<53,1.2,47.5,17,25,1187.5,0.575,0.575,0.04,0.355,0.18,116,26.525,30.848,4.323,24.01666667,3345.070423,139.2812112
4.3,Oxy,6,<53,5,6.41,0.564,25,160.25,0.615,0.615,0.04,0.3,0.2,128,26.336,30.334,3.998,19.99,534.1666667,26.72169418
4.3,Oxy,6,<53,20,NA,NA,25,NA,12.5,0.54,0.04,0.3,0.19,153,27.272,32.368,5.096,1.158669474,NA,NA
4.3,Oxy,6,>=53,53,30.4,10.16,25,760,12.5,0.535,0.04,0.28,0.2,100,26.934,33.056,6.122,1.310108,116.1714286,88.67316937
4.3,Oxy,6,>=53,180,12.1,2.84,25,302.5,12.5,0.54,0.04,0.31,0.18,141,25.866,30.438,4.572,1.09728,42.15483871,38.41757684
4.3,Oxy,6,>=53,500,30.2,10.08,25,755,12.5,0.505,0.04,0.26,0.2,103,26.116,32.141,6.025,1.21705,117.3153846,96.39323332
4.3,Bottom,19.1,<53,0.2,17.8,5.12,25,445,NA,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA
4.3,Bottom,19.1,<53,1.2,45,16,25,1125,0.535,0.535,0.04,0.295,0.2,110,26.23,28.869,2.639,13.195,3813.559322,289.0154848
4.3,Bottom,19.1,<53,5,4.67,-0.132,25,116.75,0.605,0.42,0.04,0.19,0.18,107,25.886,28.427,2.541,9.8,426.5767725,43.52824209
4.3,Bottom,19.1,<53,20,13.7,3.48,25,342.5,15.5,0.45,0.04,0.21,0.2,105,27.001,30.394,3.393,0.492532258,47.35023041,96.13630303
4.3,Bottom,19.1,>=53,53,4.75,-0.1,25,118.75,15.5,0.35,0.04,0.16,0.15,109,25.801,29.816,4.015,0.604408602,16.75907258,27.72805106
4.3,Bottom,19.1,>=53,180,2.24,-1.104,25,56,15.5,0.476,0.04,0.26,0.16,101,25.863,29.714,3.851,0.739143548,6.61439206,8.948724607
4.3,Bottom,19.1,>=53,500,3.58,-0.568,25,89.5,15.5,0.53,0.04,0.26,0.2,111,25.837,29.247,3.41,0.583,11.77047146,20.18948793
4.3,Surface,3,<53,0.2,55,20,25,1375,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
4.3,Surface,3,<53,1.2,NA,-2,25,NA,0.43,0.43,0.04,0.22,0.17,168,26.836,30.817,3.981,23.41764706,NA,NA
4.3,Surface,3,<53,5,20.5,6.2,25,512.5,1.17,0.58,0.04,0.32,0.2,161,26.96,29.68,2.72,6.741880342,793.9369658,117.7619485
4.3,Surface,3,<53,20,45.6,16.24,25,1140,13,0.365,0.04,0.2,0.12,156,26.384,29.795,3.411,0.798086538,160.0384615,200.5277045
4.3,Surface,3,>=53,53,51,18.4,25,1275,13,0.42,0.04,0.2,0.175,24,26.188,29.608,3.42,0.631384615,205.9615385,326.2061404
4.3,Surface,3,>=53,180,27.8,9.12,25,695,13,0.46,0.04,0.215,0.2,144,26.817,30.286,3.469,0.613746154,114.3828265,186.3682986
4.3,Surface,3,>=53,500,8.35,1.34,25,208.75,13,0.51,0.04,0.27,0.19,129,26.416,30.046,3.63,0.74951417,30.33119658,40.46780941
5.1,Bottom,32.5,<53,0.2,23.7,7.48,25,592.5,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA
5.1,Bottom,32.5,<53,1.2,55,20,25,1375,0.49,0.49,0.04,0.25,0.2,131,26.05,30.268,4.218,21.09,5500,260.7871029
5.1,Bottom,32.5,<53,5,11.2,2.48,25,280,0.9,0.43,0.04,NA,0.16,120,26.326,30.802,4.476,13.36583333,NA,NA
5.1,Bottom,32.5,<53,20,31.2,10.48,25,780,20,0.38,0.04,0.18,0.14,123,26.041,34.283,8.242,1.118557143,82.33333333,73.60672976
5.1,Bottom,32.5,>=53,53,13.2,3.28,25,330,20,0.37,0.04,0.18,0.16,146,26.696,31.369,4.673,0.540315625,33.91666667,62.77195235
5.1,Bottom,32.5,>=53,180,2.11,-1.156,25,52.75,20,0.42,0.04,0.2,0.125,114,26.218,29.418,3.2,0.5376,5.53875,10.30273438
5.1,Bottom,32.5,>=53,500,1.47,-1.412,25,36.75,20,0.375,0.04,0.16,0.125,113,26.514,27.988,1.474,0.2211,4.306640625,19.47824796
5.1,Surface,7,<53,0.2,34.9,11.96,25,872.5,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA
5.1,Surface,7,<53,1.2,120,46,25,3000,0.365,0.365,0.04,0.15,0.175,148,25.574,27.578,2.004,11.45142857,20000,1746.506986
5.1,Surface,7,<53,5,31.6,10.64,25,790,0.9,0.535,0.04,0.28,0.21,104,26.367,28.847,2.48,7.02010582,1677.18254,238.9112903
5.1,Surface,7,<53,20,19.7,5.88,25,492.5,16.5,0.425,0.04,0.175,0.2,154,26.818,30.339,3.521,0.453462121,72.48917749,159.8571834
5.1,Surface,7,>=53,53,55,20,25,1375,16.5,0.39,0.04,0.18,0.14,102,26.489,29.151,2.662,0.449428571,180.5555556,401.7447199
5.1,Surface,7,>=53,180,20.6,6.24,25,515,18.5,0.39,0.04,0.22,0.12,125,26.222,28.841,2.619,0.460094595,49.34889435,107.2581485
5.1,Surface,7,>=53,500,28,9.2,25,700,18.5,0.43,0.04,0.22,0.05,119,25.878,28.555,2.677,1.244443243,73.95577396,59.42880429
5.5,Bottom,13,<53,0.2,54,19.6,25,1350,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA
5.5,Bottom,13,<53,1.2,NA,NA,25,NA,0.6,0.6,0.04,0.36,0.2,134,26.485,30.298,3.813,19.065,NA,NA
5.5,Bottom,13,<53,5,6.83,0.732,25,170.75,1.5,0.5,0.04,0.27,0.2,29,26.886,30.567,3.681,6.135,210.8024691,34.36063067
5.5,Bottom,13,<53,20,0.218,-1.9128,25,5.45,10,0.49,0.04,0.275,0.18,125,26.222,28.841,2.619,0.71295,0.971090909,1.362074352
5.5,Bottom,13,>=53,53,29.7,9.88,25,742.5,10,0.48,0.04,0.275,0.2,112,26.235,31.24,5.005,1.2012,129.6,107.8921079
5.5,Bottom,13,>=53,180,2.2,-1.12,25,55,10,0.425,0.04,0.2,0.2,117,26.281,30.784,4.503,0.9568875,11.6875,12.2140795
5.5,Bottom,13,>=53,500,1.69,-1.324,25,42.25,10,0.34,0.04,0.2,0.1,122,26.582,30.684,4.102,1.39468,7.1825,5.149926865
5.5,Surface,3,<53,0.2,NA,NA,25,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA
5.5,Surface,3,<53,1.2,NA,NA,25,NA,0.41,0.41,0.04,0.16,0.21,108,26.311,29.32,3.009,14.32857143,NA,NA
5.5,Surface,3,<53,5,34.3,11.72,25,857.5,1.3,0.52,0.04,0.24,0.17,106,26.101,28.78,2.679,6.303529412,1429.166667,226.7248351
5.5,Surface,3,<53,20,NA,NA,25,NA,14.5,0.42,0.04,0.25,0.15,27,26.505,30.628,4.123,0.796165517,NA,NA
5.5,Surface,3,>=53,53,49.6,17.84,25,1240,14.5,0.35,0.04,0.175,0.145,126,27.856,32.319,4.463,0.74294887,171.0344828,230.2103006
5.5,Surface,3,>=53,180,33.1,11.24,25,827.5,15,0.375,0.04,0.17,0.15,130,26.354,28.791,2.437,0.406166667,121.6911765,299.6089696
5.5,Surface,3,>=53,500,2.39,-1.044,25,59.75,15,0.37,0.04,0.15,0.14,115,26.287,28.946,2.659,0.468490476,9.825555556,20.97279679
